Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","767","Cotton lint, ginned","2022","2022","t","79983","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","767","Cotton lint, ginned","2022","2022","t","-54945","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","837","Natural rubber in other forms","2020","2020","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","837","Natural rubber in other forms","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","837","Natural rubber in other forms","2021","2021","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","837","Natural rubber in other forms","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","837","Natural rubber in other forms","2022","2022","t","3","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","837","Natural rubber in other forms","2022","2022","t","3","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","836","Natural rubber in primary forms","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","836","Natural rubber in primary forms","2021","2021","t","12.44","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","836","Natural rubber in primary forms","2021","2021","t","12","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","836","Natural rubber in primary forms","2022","2022","t","0.1","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","836","Natural rubber in primary forms","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2020","2020","t","4183","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2020","2020","t","0","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2020","2020","t","3","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2020","2020","t","4180","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2021","2021","t","3749","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2021","2021","t","73","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2021","2021","t","3676","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2022","2022","t","2826","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2022","2022","t","50","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2022","2022","t","2776","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","831","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","1186","Raw silk (not thrown)","2020","2020","t","49","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","1186","Raw silk (not thrown)","2020","2020","t","8","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1186","Raw silk (not thrown)","2020","2020","t","57","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1186","Raw silk (not thrown)","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","1186","Raw silk (not thrown)","2021","2021","t","50","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1186","Raw silk (not thrown)","2021","2021","t","50","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1186","Raw silk (not thrown)","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","1186","Raw silk (not thrown)","2022","2022","t","50","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","1186","Raw silk (not thrown)","2022","2022","t","2","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1186","Raw silk (not thrown)","2022","2022","t","52","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1186","Raw silk (not thrown)","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","987","Shorn wool, greasy, including fleece-washed shorn wool","2020","2020","t","13548.45","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","987","Shorn wool, greasy, including fleece-washed shorn wool","2020","2020","t","164.94","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","987","Shorn wool, greasy, including fleece-washed shorn wool","2020","2020","t","66.6","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","987","Shorn wool, greasy, including fleece-washed shorn wool","2020","2020","t","15260","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","987","Shorn wool, greasy, including fleece-washed shorn wool","2020","2020","t","-1613","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","987","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","t","12479.11","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","987","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","t","104.15","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","987","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","t","185.62","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","987","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","t","12397.65","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","987","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","987","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","12108.38","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","987","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","315.67","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","987","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","105.68","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","987","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","12318.38","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","987","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","1187","Silk waste","2020","2020","t","16.4","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1187","Silk waste","2020","2020","t","","A","Official figure",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1187","Silk waste","2020","2020","t","16","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","1187","Silk waste","2021","2021","t","5.75","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1187","Silk waste","2021","2021","t","6","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","1185","Silk-worm cocoons suitable for reeling","2020","2020","t","500","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","1185","Silk-worm cocoons suitable for reeling","2020","2020","t","6.89","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5023","Processed","1185","Silk-worm cocoons suitable for reeling","2020","2020","t","493.11","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1185","Silk-worm cocoons suitable for reeling","2020","2020","t","0","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1185","Silk-worm cocoons suitable for reeling","2020","2020","t","0","I","Imputed value",""
